\ This script generates Case-5 astrometry challenges. The telescope used in this
\ challenge is affected by distortion. Astronomical sources are retrived from
\ the Gaia EDR3 catalog, while observations fields are not in the Galactic
\ center region. In total, 10 fields are obtained for each distortion pattern. A
\ list of source positions on the focal plane and original ICRS coordinates is
\ provided. Solve the position angle and distortion parameters.
\distortion_K=(4.853877467402019,)
\distortion_S=(2.9059349715986675, -2.106159281632057)
\distortion_T=(-16.38310732988841,)
\distortion_scale=0.9880379337591932
|                  x|                  y|                ra|                dec|field|
|             double|             double|            double|             double| long|
|                   |                   |                  |                   |     |
|               null|               null|              null|               null| null|
  16279.432383872001 -19559.343396520042 335.92895397433745  -24.53204525260997     0 
  16362.655294788507 -17087.011083844078 335.92355348947837 -24.514232160522266     0 
  14299.069211338672 -16973.499514935305 335.93996971244087 -24.510787318923693     0 
  -2404.537514660122   -16808.0176840651 336.07834580194594 -24.486627357051614     0 
  -8025.932348874012 -18646.733288178635 336.12999239112787 -24.491872028765936     0 
 -7511.7990327717935 -17173.088108794214  336.1228820572032  -24.48166757782857     0 
  -7408.484938777153 -17159.723042485846 336.12196366502064 -24.481726265385994     0 
  -8454.117096223203  -13960.53530045275 336.12529856395685 -24.456064618133343     0 
  -8504.178583495755  -14005.75875594263 336.12581491796084  -24.45632723167883     0 
 -14003.388770215832 -13901.383807022969 336.17389782180044 -24.446653959517718     0 
  -16992.48809891379 -10508.220778888066  336.1946277744258  -24.41560802187306     0 
  -17454.54766912031 -10277.123078314247 336.19837209222584 -24.413023637369395     0 
  -13505.02644965888 -11627.124886523678 336.16551359122576 -24.430127658167756     0 
   6648.218496957525 -20012.841526270502 336.00829525090944 -24.522936371627043     0 
    6117.24560296854 -16669.350606562457  336.0064179071403  -24.49771659368346     0 
    1171.38074554967 -17823.917645212117  336.0499168578709 -24.499326668934867     0 
  2029.3521206770802 -13507.125499253756  336.0347258920325  -24.46850482925952     0 
  4237.2050871304755 -12962.550220297071  336.0151932700237 -24.467613259726836     0 
   8316.600225559221  -9228.727870938796 335.97436848362776 -24.445474390385385     0 
   5187.234191218479 -3509.6502345692556 335.98997843685646 -24.397586217953513     0 
  -5885.855116637036 -12861.489045746184  336.1010642058397  -24.45178292552154     0 
  -6013.558471230589 -12497.209829576954 336.10151424690963 -24.448830757443314     0 
  -6944.013110017199 -11369.761152466424  336.1075562346976 -24.438823557976203     0 
  -4589.108519608243  -6735.576707407361  336.0789287662433  -24.40716932689355     0 
  -4618.665051327055  -6645.239539440523 336.07902378694024 -24.406428440594123     0 
  -4726.500441457725 -6233.4805082059565   336.079225712612 -24.403091421065188     0 
 -12504.166901929417  -6688.523441291332 336.14807566888555 -24.393756449920428     0 
 -12766.762472422368  -4958.740626191425 336.14742239650076   -24.3798498812106     0 
 -13338.814276585144 -3916.3772391386383 336.15071864160194  -24.37071156570806     0 
 -10167.850844779494  -4640.294666049289  336.1239002383913   -24.3818073039213     0 
  -8551.838443665461   4951.443287143881   336.093248797026 -24.309004582031747     0 
 -19944.518628987975  -7646.499510833157 336.21634050014063 -24.388189150784967     0 
  -18789.40536340784  -6729.743345163814 336.20435287693425 -24.383097479829896     0 
 -18220.016764947653  2640.6565161906974  336.1835766165463 -24.309858734612497     0 
  -12022.87116106269   3812.493265901273 336.12591469042815 -24.311893269463898     0 
  -16836.38347281015    3829.84657737062 336.16908495193445 -24.302895845809623     0 
 -11453.828430041847  4628.8911363716725  336.1194824994726 -24.306390729316224     0 
 -18128.529064136514   4653.598889802089 336.17944447716593 -24.293814866815577     0 
 -17582.324620252235   7940.293784555979  336.1691331189546  -24.26819512940082     0 
 -18865.627165172536   8077.611859782312  336.1805987511024  -24.26458612931767     0 
 -20063.881338409068  10252.740089833884 336.18807929243854 -24.244399516944355     0 
   18653.90959272843  -4742.803598058373  335.8818894486328  -24.42606281400668     0 
  13729.747663159107  -830.7669132540118  335.9144965901038 -24.389663475304893     0 
  10357.658896485771 -196.82103042525372  335.9410072790478 -24.379912401935165     0 
   7513.697635493309   2298.542245501233  335.9601201615655  -24.35639033766571     0 
  13423.950133199773  1041.6654337221676  335.9135931495665 -24.374910545707937     0 
    17847.6539541077  1529.4496587049882  335.8768225458045  -24.37751807366155     0 
  19369.913269269266   2577.702233316296  335.8626830265731 -24.371661824302798     0 
  10673.702467113553  3509.2867318317612  335.9317448856609   -24.3518241289968     0 
    10030.4617833042    7336.28579366873 335.93028657573205 -24.321040387707377     0 
 -3464.3554375353556   8784.433524548504  336.0422683802182  -24.28730161903877     0 
  -3606.146770867421   9895.478932055225   336.041626764815 -24.278141239830088     0 
   6133.241827853862   7623.226165065893  335.9622977403899  -24.31261300094935     0 
   6697.404429667645   8900.859025963806 335.95534302079403 -24.303445957609725     0 
  3707.4603782500394  7766.5937243261915  335.9825074181593  -24.30753937869748     0 
   8712.979057169932  8115.5872737357095  335.9398652373875 -24.312857376328264     0 
  369.10600209956067  10293.179707990514  336.0066297916055 -24.281852130834555     0 
 -1663.2911482057882  16688.894825364147 336.01346719620574    -24.226622554739     0 
  12718.615857694822     9468.9168405359 335.90435802431733 -24.308511028273355     0 
