\ This script generates Case-5 astrometry challenges. The telescope used in this
\ challenge is affected by distortion. Astronomical sources are retrived from
\ the Gaia EDR3 catalog, while observations fields are not in the Galactic
\ center region. In total, 10 fields are obtained for each distortion pattern. A
\ list of source positions on the focal plane and original ICRS coordinates is
\ provided. Solve the position angle and distortion parameters.
\distortion_K=(37.596651634338706,)
\distortion_S=(2.3730958411291407, -2.7281623643842168)
\distortion_T=(70.13971554680496,)
\distortion_scale=1.01142822814515
|                  x|                  y|                ra|                dec|field|
|             double|             double|            double|             double| long|
|                   |                   |                  |                   |     |
|               null|               null|              null|               null| null|
  17553.345935419507  -2962.911300230575  327.7527175735222 -18.470797328472393     0 
  16718.413062325875   -8089.18588363968  327.7905746520601 -18.455936424806264     0 
  13873.581790654838  -16693.64829595567  327.8503391268585    -18.420566116381     0 
    8711.79025490761 -14461.477338395056  327.8271312386878  -18.38749467674597     0 
  19683.937492668298   18982.63346857751  327.5827426100619 -18.520926857992006     0 
  11966.967337398879  20367.342702280304 327.55786656528477  -18.46808723682165     0 
  16592.650853503754     7777.9906770718  327.6671548160901  -18.48203113545874     0 
  16726.879281922094   5714.810044386092  327.6837379395048  -18.47962317756519     0 
  15885.894740780317  11357.746795272946 327.63742149026206 -18.482703185121622     0 
  15910.482719230293  11499.897427855025 327.63632278490627  -18.48310112070492     0 
    14578.6515197242  -79.66492549997227  327.7260655828734  -18.45462188170857     0 
  11476.267165673378   -691.023489709549  327.7261580472971  -18.43119447668029     0 
  12533.017133219577  12216.423573979891 327.62488659105907 -18.459933686744574     0 
  7926.4854179749145  10892.647849668989 327.62769166718175  -18.42405204394829     0 
  6972.7621401008955  11092.513395536724 327.62440840232574  -18.41727883147636     0 
   7385.756226550597  13511.874990186388 327.60543107155803  -18.42413245625077     0 
  7308.7267549629805  13620.855997574758  327.6044061943486 -18.423728598711303     0 
   8159.938918444969   8834.910481089544  327.6447754420185 -18.422514490947314     0 
   8795.880087263049   8900.854384334512 327.64532441937456 -18.427324677966176     0 
   9453.133201171544   9415.322915537572 327.64228171968534  -18.43299436758618     0 
  7070.5083642804475   5750.335234494603 327.66783804531815  -18.40945474537672     0 
  6761.9441872931875  11186.967684089746  327.6232716234466  -18.41585688167528     0 
   4824.573538605862  5914.2072530604555  327.6627116755908  -18.39294185636395     0 
  4425.3674734101005   5137.962771526253 327.66830149932593 -18.388688215083324     0 
  12211.642081644692 -4043.8698250407942 327.75337426026204 -18.430815628851537     0 
  10875.652301592581 -3778.0446547322604  327.7493291508712 -18.421582222601376     0 
   8422.688703205195   876.5425338443665 327.70901350777024 -18.411455268186323     0 
   6318.795727755447 -15317.675959241085  327.8300291022379 -18.368621469221743     0 
   3779.165347358618  -12186.32547064962  327.8029395039357  -18.35521095304042     0 
  1887.0776298049534 -11753.627396925864    327.79674666195 -18.341887128234198     0 
    4381.06948037881  -2268.065290122809   327.727370358189 -18.376201679728887     0 
  1185.3861631411175  -59.16022425312604  327.7045458603087  -18.35579815602477     0 
   2780.295601996722  -4484.042430346722 327.74218603632346  -18.36055151131413     0 
   600.8360078783054  -6419.748990201847 327.75374264093665 -18.341001802194786     0 
  -654.2519476032585 -2931.9690782749635 327.72427211699915 -18.337197419142143     0 
  -1617.581529861483  -2704.229864571299 327.72083138538795 -18.330255280644128     0 
  -3557.895523085777  -5033.761779971667  327.7359115525926  -18.31176873866015     0 
  5442.9357007586195  16635.360202767424  327.5764199698377 -18.414425975083038     0 
   4999.006118936989  14881.246784356392   327.589977027127 -18.408418637905754     0 
   2444.059512507754   16377.25034250838  327.5730541428772 -18.391449131045427     0 
   4195.777763923517  11934.639200587062 327.61264532952066  -18.39780518471157     0 
  1816.1051650960521   12988.31060807062  327.5997437093953  -18.38145950445148     0 
  1514.0202133146233  12792.938731496768 327.60080066683895 -18.378860660282122     0 
   351.6202795489819  14105.448732998222  327.5879002315116 -18.372052879736405     0 
  -2110.443900518899  13801.514388590484  327.5858857507611  -18.35274343395605     0 
 -2289.6454624343605   9806.074899409185 327.61843806295906 -18.345116334476725     0 
 -2953.9565872578964  12217.798696280737 327.59738868313536 -18.343795915096916     0 
  471.17521183055925  18347.122763576484  327.5531991148892 -18.379458602600028     0 
   -1066.76301934354  15682.143603764405 327.57230584046164  -18.36365033665685     0 
  -4204.882292416937    12987.4612683255 327.58873895171797 -18.335362461468808     0 
  -4745.106455309908  12132.274333759024 327.59479848744155 -18.329861655333097     0 
  -7125.091239825179  11921.754965208196 327.59213201520015   -18.3111265666712     0 
   -4379.73123604212  18397.486426434076  327.5437037013486 -18.342348753023433     0 
 -1717.6236242325997   4763.934819204895  327.6606603402951  -18.34149462435004     0 
  -7689.405266830238  3474.7599816035636  327.6604261622564  -18.29353652847468     0 
  -6031.849942385404  -4406.694134296423  327.7266686253133  -18.29390004124116     0 
   -9466.68397552542 -4092.7538611193495 327.71806478737744 -18.268093053752384     0 
 -10168.328978267595  -2375.446626167539  327.7031170865737  -18.26534373863163     0 
  -6660.560355709144  11346.303652535846 327.59774477147147 -18.313827061261318     0 
  -9780.327523801174   5817.304751199929 327.63746484340896   -18.2810241663152     0 
