\ The attitudes of the telescope.
|field|                ra|                dec|                pa|
| long|            double|             double|            double|
|     |               deg|                deg|               deg|
| null|              null|               null|              null|
     0 268.33550423575605 -29.182570747539458  301.4230250070703 
     1  268.3385676494783  -29.18562422922093 300.96299147508626 
     2 268.33422522595055 -29.184590958283327  301.6526015374611 
     3 268.33977162092805 -29.186069131040725  301.8243616898421 
     4 268.33601149837136 -29.183566366450314 298.87790875447786 
     5  268.3373104967497 -29.185014657082963  300.5186650711568 
     6 268.33658409739013 -29.184400996709414  299.4044239640075 
     7  268.3375212820199 -29.184386781357816  300.9860379901403 
     8  268.4172487693967 -29.069346492319738  298.9023809271914 
     9 268.41570816126614 -29.067643791651857  299.6887787130175 
    10 268.41622502779273 -29.067468862343254 301.61632176773827 
    11  268.4123663276829  -29.06787620984411 302.19418350294626 
    12  268.4136038525524 -29.069021420715735  301.0836052752267 
    13 268.41755863227314  -29.06844764498741 301.12242113873026 
    14  268.4183966016614 -29.069377487977082  299.2526921604466 
    15  268.4138633834516 -29.072037576586943 301.15557708489314 
    16  268.2073725175948 -29.114773349524317  302.1636692570359 
    17 268.20747898054617 -29.119474739042595 300.47935328864105 
    18 268.20661577359317 -29.116186063875897 298.46794069969036 
    19  268.2079751589326 -29.117649367415265 301.20437731606364 
    20  268.2078438894403 -29.116847105256504 300.02091768554527 
    21  268.2054914160677  -29.11793322399231   301.491021733357 
    22    268.20477473106 -29.117445421757225  300.0059731074496 
    23  268.2057672139525 -29.117646007731235 299.50051220381016 
    24  268.2848886560899  -29.00330335100056  302.4654167426584 
    25  268.2846815576913  -29.00224766161531  300.7147925539556 
    26  268.2839075659572 -29.002086735735343 301.11534944185746 
    27 268.28503195510496 -29.001264336684354 299.92484979922074 
    28 268.28662380000986 -29.003748320683524 298.98466900261405 
    29 268.28254637622854 -28.999001766557974  300.2528583446513 
    30  268.2837344203211 -29.000887431012472  303.5801715958989 
    31  268.2847728458765  -29.00054739597261  299.5452658920923 
