\ The attitudes of the telescope.
|field|block|plate|                ra|                dec|                pa|
| long| long| long|            double|             double|            double|
|     |     |     |               deg|                deg|               deg|
| null| null| null|              null|               null|              null|
     0     0     0 266.35114339694996 -28.755402293139053 301.51421043927417 
     0     1     1 266.35404742912567  -28.75318061971132  299.4381899223894 
     0     2     2  266.3537542468742  -28.75289443783235  302.9037936556836 
     0     3     3 266.35508333028747 -28.754092402893885  300.9235041849243 
     0     4     4   266.354730148393  -28.75156973191051  300.8956662944167 
     0     5     5 266.35471117556796 -28.752214093484568  302.3940819175682 
     0     6     6 266.35428150893364  -28.75396202083634  301.0335393823536 
     0     7     7    266.35280926746 -28.754412751730833 301.68741349432196 
     0     8     8  266.3547398039866 -28.753056513809383  300.0100540551276 
     0     9     9 266.35453430098505 -28.753639407617204  300.6232477550741 
     0    10    10 266.35373902103595 -28.752791250217612  303.3120926467983 
     0    11    11  266.3542144882947 -28.752499288326558 301.35123102690034 
     0    12    12 266.35286936815925 -28.755185941033115 301.48656099340167 
     0    13    13  266.3567130606049   -28.7501126386166 301.72601505016775 
     0    14    14  266.3559696654226 -28.753780129992357 302.56765612560326 
     0    15    15  266.3539702029189 -28.751428706345436  300.5164051175112 
     0    16    16  266.3574722192261  -28.75224528155281 302.01096304016664 
     0    17    17 266.35756675267135  -28.75101391890652 300.85776023079944 
     0    18    18  266.3551813881564 -28.753139186026857  299.8745486437677 
     0    19    19 266.35591116510665   -28.7535807021007  301.8984535531099 
     0    20    20  266.3515637482219  -28.75285994212181  300.6437023044093 
     0    21    21 266.35305268890437 -28.752685273655235  300.1953730988841 
     0    22    22  266.3528393022419  -28.75167653933617  299.8188550287467 
     0    23    23 266.35421964149947  -28.75248568128424 302.20749730299696 
     0    24    24 266.35518180745754 -28.755314894295854 301.94715771772894 
     0    25    25 266.35432513611954 -28.752359327375537  301.7720715310001 
     0    26    26 266.35354278205085 -28.753530445780278  301.7190752992995 
     0    27    27 266.35130618524175 -28.752388175436803  301.9009117382867 
     0    28    28 266.35254687014327  -28.75382912489074 300.45180189444125 
     0    29    29   266.353502358878 -28.751120871197934   300.605335176026 
     0    30    30  266.3546561802248 -28.751452024644575 302.24752208208974 
     0    31    31 266.35631688447387 -28.750822377909834  300.6709239292507 
     1     0    32  266.4339963702585  -28.64073875480007  301.3099602562319 
     1     1    33  266.4335347842311 -28.638489349551495   302.214462485841 
     1     2    34  266.4316745164045 -28.638027123352074  301.1235150591946 
     1     3    35  266.4350240632341 -28.635416236298834  300.5294002061821 
     1     4    36 266.43209297676475 -28.640014670339994  301.1645120819278 
     1     5    37  266.4335765633497 -28.637905109345546 301.31442909057967 
     1     6    38  266.4349759486524  -28.64119375267886  300.9400773461448 
     1     7    39  266.4340440060369  -28.63792372925846 300.14129473011457 
     1     8    40 266.43324959835627 -28.638609926960328  300.5035590299889 
     1     9    41 266.43367546070596  -28.63886961261486 300.24424212175165 
     1    10    42  266.4331647085629  -28.63826412299457  302.4705077957721 
     1    11    43  266.4363570565882 -28.638841070565846   300.448099236085 
     1    12    44  266.4333578016989 -28.638111680198804 301.90241118275566 
     1    13    45 266.43603144760704 -28.634113028453527  302.5216369561407 
     1    14    46  266.4335336992984 -28.637491683710355 301.07200852179665 
     1    15    47  266.4352969588366 -28.638753134587333 301.14961470181896 
     1    16    48  266.4331167554043   -28.6396102254152 303.70214083694117 
     1    17    49  266.4311612825025 -28.640811460006905 299.77570815702643 
     1    18    50 266.43176734665417 -28.638865809227973 301.45240900787525 
     1    19    51  266.4337054506481  -28.64088922720466 302.06679976086855 
     1    20    52 266.43273300832186 -28.639803357090106 301.43323883330186 
     1    21    53 266.43019406853733  -28.63831566117595 302.02280264717865 
     1    22    54  266.4317063604894 -28.641360195170588  300.7263768085411 
     1    23    55 266.43540059656596 -28.638656564953116  301.2716468954731 
     1    24    56   266.432874042123 -28.637868991139353  300.1872989754446 
     1    25    57  266.4339933220149 -28.639834137849142  300.7337324123214 
     1    26    58  266.4345353519349  -28.63670782885385  300.1259111226829 
     1    27    59  266.4315170699682 -28.636470623403074 302.42070963212296 
     1    28    60   266.433029294486 -28.641245690046734 302.65443867547106 
     1    29    61   266.432444567755  -28.63961198027395 302.16243922286395 
     1    30    62 266.43294383413485 -28.640236049139187  298.1462992393075 
     1    31    63 266.43312429780707  -28.64049123906766  300.1396972137931 
